ID,Module,Feature,Test Scenario,Steps,Expected Result
UAT-01,Auth,Login,"Valid login with superuser","1. Buka http://127.0.0.1:8001/ 2. Masukkan admin / admin123 3. Klik Sign In","Redirect ke dashboard, lihat 4 stat boxes (Projects, Findings, Late Findings, SLA Compliance %)"
UAT-02,Auth,Login,"Invalid login","1. Buka http://127.0.0.1:8001/ 2. Masukkan admin / wrongpassword 3. Klik Sign In","Error: 'Your username and password didn't match.'"
UAT-03,Auth,Logout,"Logout","1. Klik Logout di navbar kanan atas","Redirect ke login page"
UAT-04,Dashboard,Charts,"Severity doughnut chart","1. Login sebagai admin 2. Lihat chart Findings by Severity","Chart doughnut muncul dengan warna: Critical=hitam, High=merah, Medium=kuning, Low=biru"
UAT-05,Dashboard,Charts,"SPI doughnut chart","1. Login sebagai admin 2. Lihat chart Project Schedule (SPI)","Chart doughnut muncul: On Track (hijau) vs Delayed (merah)"
UAT-06,Dashboard,Recent,"Recent Findings table","1. Login sebagai admin 2. Lihat tabel Recent Findings","Tabel muncul dengan title, severity badge berwarna, dan project name"
UAT-07,Dashboard,Recent,"Recent Projects table","1. Login sebagai admin 2. Lihat tabel Recent Projects","Tabel muncul dengan project name, status, dan SPI badge"
UAT-08,Sidebar,Navigation,"Semua menu tampil untuk superuser","1. Login sebagai admin 2. Lihat sidebar","Menu: Dashboard, Organizations, Projects, Findings, VKB, Reports. ADMINISTRATION: User Management, Role Management, SLA Profiles, Report Template, Audit Log"
UAT-09,Sidebar,Navigation,"Menu terbatas untuk user biasa","1. Buat user non-admin 2. Login user tersebut 3. Lihat sidebar","Hanya menu utama (Dashboard, Organizations, Projects, Findings, VKB, Reports). Tidak ada ADMINISTRATION section."
UAT-10,Organizations,CRUD,"Create Organization","1. Klik Organizations di sidebar 2. Klik Add New Organization 3. Isi name + description 4. Save","Organization baru muncul di list"
UAT-11,Organizations,CRUD,"Edit Organization","1. Di organization list, klik Edit 2. Ubah description 3. Save","Description berubah di detail page"
UAT-12,Organizations,CRUD,"Delete Organization","1. Di organization list, klik Delete 2. Konfirmasi delete","Organization hilang dari list"
UAT-13,Projects,CRUD,"Create Project dengan SLA Profile","1. Buat SLA Profile dulu (/projects/sla/) 2. Klik Projects → Create New Project 3. Isi form + pilih SLA Profile 4. Save","Project muncul di list dengan SLA profile yang terpilih"
UAT-14,Projects,CRUD,"Edit Project","1. Klik Edit di project list 2. Ubah status ke Completed 3. Save","Project detail: completed_date terisi otomatis, SPI dihitung"
UAT-15,Projects,Detail,"Project detail menampilkan semua section","1. Buka detail project 2. Scroll semua section","Tampil: Project info, SLA profile, SPI, Assignments, Stakeholders, Scanning Reports, Findings, Report History, Activity"
UAT-16,Assignments,Add,"Assign user ke project","1. Di project detail, klik Assign User 2. Pilih user + title 3. Assign","User muncul di list Assignments"
UAT-17,Assignments,Remove,"Remove assignment","1. Di project detail, klik Remove pada assignment 2. Konfirmasi","Assignment hilang dari list"
UAT-18,Stakeholders,Add,"Add stakeholder","1. Di project detail, klik Add Stakeholder 2. Isi name, email, position 3. Add","Stakeholder muncul di list"
